shortcut,par,symbol,exp_symbol,unit,lim,collect
Ltur_sstd,scaled_Lturn_straight_dst,${d}_{Ltur}^{st*}$,${\hat{d}}_{Ltur}^{st*}$,scaled distance $(-)$,,
Ltur_t,Lturn_dur,${t}_{Lturn}$,${\hat{t}}_{Lturn}$,time $(sec)$,,
Ltur_t_mu,Lturn_dur_mean,${\bar{t}}_{Lturn}$,${\bar{\hat{t}}}_{Lturn}$,time $(sec)$,,
Ltur_t_std,Lturn_dur_std,${\~{t}}_{Lturn}$,${\~{\hat{t}}}_{Lturn}$,time $(sec)$,,
cum_Ltur_t,cum_Lturn_dur,${t}_{Lturn}^{cum}$,${\hat{t}}_{Lturn}^{cum}$,time $(sec)$,,
Ltur_t_max,Lturn_dur_max,${t}_{Lturn}^{m}$,${\hat{t}}_{Lturn}^{m}$,time $(sec)$,,
Ltur0,Lturn_start,${t}_{Lturn}^{0}$,${\hat{t}}_{Lturn}^{0}$,time $(sec)$,,
Ltur1,Lturn_stop,${t}_{Lturn}^{1}$,${\hat{t}}_{Lturn}^{1}$,time $(sec)$,,
Ltur_l,Lturn_length,${Lturn}_{l}$,${\hat{Lturn}}_{l}$,counts $(#)$,,
Ltur_id,Lturn_id,${Lturn}_{id}$,${\hat{Lturn}}_{id}$,counts $(#)$,,
Ltur_tr,Lturn_dur_ratio,${r}_{Lturn}$,${\hat{r}}_{Lturn}$,% time turning left,,
Ltur_N,num_Lturns,${N}_{Lturns}$,${\hat{N}}_{Lturns}$,# Lturns,,
Rtur_d,Rturn_dst,${d}_{Rtur}$,${\hat{d}}_{Rtur}$,distance $(mm)$,,
Rtur_sd,scaled_Rturn_dst,${d}_{Rtur}^{*}$,${\hat{d}}_{Rtur}^{*}$,scaled distance $(-)$,,
Rtur_std,Rturn_straight_dst,${d}_{Rtur}^{st}$,${\hat{d}}_{Rtur}^{st}$,distance $(mm)$,,
Rtur_sstd,scaled_Rturn_straight_dst,${d}_{Rtur}^{st*}$,${\hat{d}}_{Rtur}^{st*}$,scaled distance $(-)$,,
Rtur_t,Rturn_dur,${t}_{Rturn}$,${\hat{t}}_{Rturn}$,time $(sec)$,,
Rtur_t_mu,Rturn_dur_mean,${\bar{t}}_{Rturn}$,${\bar{\hat{t}}}_{Rturn}$,time $(sec)$,,
Rtur_t_std,Rturn_dur_std,${\~{t}}_{Rturn}$,${\~{\hat{t}}}_{Rturn}$,time $(sec)$,,
cum_Rtur_t,cum_Rturn_dur,${t}_{Rturn}^{cum}$,${\hat{t}}_{Rturn}^{cum}$,time $(sec)$,,
Rtur_t_max,Rturn_dur_max,${t}_{Rturn}^{m}$,${\hat{t}}_{Rturn}^{m}$,time $(sec)$,,
Rtur0,Rturn_start,${t}_{Rturn}^{0}$,${\hat{t}}_{Rturn}^{0}$,time $(sec)$,,
Rtur1,Rturn_stop,${t}_{Rturn}^{1}$,${\hat{t}}_{Rturn}^{1}$,time $(sec)$,,
Rtur_l,Rturn_length,${Rturn}_{l}$,${\hat{Rturn}}_{l}$,counts $(#)$,,
Rtur_id,Rturn_id,${Rturn}_{id}$,${\hat{Rturn}}_{id}$,counts $(#)$,,
Rtur_tr,Rturn_dur_ratio,${r}_{Rturn}$,${\hat{r}}_{Rturn}$,% time turning right,,
Rtur_N,num_Rturns,${N}_{Rturns}$,${\hat{N}}_{Rturns}$,# Rturns,,
fee_d,feed_dst,${d}_{fee}$,${\hat{d}}_{fee}$,distance $(mm)$,,
fee_sd,scaled_feed_dst,${d}_{fee}^{*}$,${\hat{d}}_{fee}^{*}$,scaled distance $(-)$,,
fee_std,feed_straight_dst,${d}_{fee}^{st}$,${\hat{d}}_{fee}^{st}$,distance $(mm)$,,
fee_sstd,scaled_feed_straight_dst,${d}_{fee}^{st*}$,${\hat{d}}_{fee}^{st*}$,scaled distance $(-)$,,
fee_t,feed_dur,${t}_{feed}$,${\hat{t}}_{feed}$,time $(sec)$,,
fee_t_mu,feed_dur_mean,${\bar{t}}_{feed}$,${\bar{\hat{t}}}_{feed}$,time $(sec)$,,
fee_t_std,feed_dur_std,${\~{t}}_{feed}$,${\~{\hat{t}}}_{feed}$,time $(sec)$,,
cum_fee_t,cum_feed_dur,${t}_{feed}^{cum}$,${\hat{t}}_{feed}^{cum}$,time $(sec)$,,
fee_t_max,feed_dur_max,${t}_{feed}^{m}$,${\hat{t}}_{feed}^{m}$,time $(sec)$,,
fee0,feed_start,${t}_{feed}^{0}$,${\hat{t}}_{feed}^{0}$,time $(sec)$,,
fee1,feed_stop,${t}_{feed}^{1}$,${\hat{t}}_{feed}^{1}$,time $(sec)$,,
fee_l,feed_length,${feed}_{l}$,${\hat{feed}}_{l}$,counts $(#)$,,
fee_id,feed_id,${feed}_{id}$,${\hat{feed}}_{id}$,counts $(#)$,,
fee_tr,feed_dur_ratio,${r}_{feed}$,${\hat{r}}_{feed}$,% time feeding,,feed_dur_ratio
fee_N,num_feeds,${N}_{feeds}$,${\hat{N}}_{feeds}$,# feeds,,num_feeds
chn_d,stridechain_dst,${d}_{chn}$,${\hat{d}}_{chn}$,distance $(mm)$,,
chn_sd,scaled_stridechain_dst,${d}_{chn}^{*}$,${\hat{d}}_{chn}^{*}$,scaled distance $(-)$,,
chn_std,stridechain_straight_dst,${d}_{chn}^{st}$,${\hat{d}}_{chn}^{st}$,distance $(mm)$,,
chn_sstd,scaled_stridechain_straight_dst,${d}_{chn}^{st*}$,${\hat{d}}_{chn}^{st*}$,scaled distance $(-)$,,
chn_t,stridechain_dur,${t}_{stridechain}$,${\hat{t}}_{stridechain}$,time $(sec)$,,stridechain_dur
chn_t_mu,stridechain_dur_mean,${\bar{t}}_{stridechain}$,${\bar{\hat{t}}}_{stridechain}$,time $(sec)$,,
chn_t_std,stridechain_dur_std,${\~{t}}_{stridechain}$,${\~{\hat{t}}}_{stridechain}$,time $(sec)$,,
cum_chn_t,cum_stridechain_dur,${t}_{stridechain}^{cum}$,${\hat{t}}_{stridechain}^{cum}$,time $(sec)$,,cum_stridechain_dur
chn_t_max,stridechain_dur_max,${t}_{stridechain}^{m}$,${\hat{t}}_{stridechain}^{m}$,time $(sec)$,,
chn0,stridechain_start,${t}_{stridechain}^{0}$,${\hat{t}}_{stridechain}^{0}$,time $(sec)$,,stridechain_start
chn1,stridechain_stop,${t}_{stridechain}^{1}$,${\hat{t}}_{stridechain}^{1}$,time $(sec)$,,stridechain_stop
chn_l,stridechain_length,${stridechain}_{l}$,${\hat{stridechain}}_{l}$,counts $(#)$,,stridechain_length
chn_id,stridechain_id,${stridechain}_{id}$,${\hat{stridechain}}_{id}$,counts $(#)$,,stridechain_id
chn_tr,stridechain_dur_ratio,${r}_{stridechain}$,${\hat{r}}_{stridechain}$,time ratio $(-)$,,stridechain_dur_ratio
chn_N,num_stridechains,${N}_{stridechains}$,${\hat{N}}_{stridechains}$,# stridechains,,num_stridechains
